"profid","accountname","fname","lname","mname","bday","memdate","acctstat","address","gender","civilstat","remarks","proftype","profpic","profgroup","previd","billname","shipname","billaddr1","billaddr2","billcity","shipaddr1","shipaddr2","shipcity","area","kobid","contact","encodedby","encodedon","editedby","editedon","salesperson","clientgroupid","pricecodeid","shipperid","hasbranches","tin"
2443,"ROSE PHARMACY INC. (SAM CATARMAN)"," "," "," ","1990-01-01","1990-01-01",1,"JACINTO ST., POBLACION, CATARMAN SAMAR",1,1," ",1,"",99,"ROS017","","","JACINTO ST., POBLACION, CATARMAN SAMAR","","","JACINTO ST., POBLACION, CATARMAN SAMAR","","","#N/A",7,"","","","","","NERISSA CERILLA",1,1,"0",0,""
2444,"ROSE PHARMACY INC. (SAM GUIUAN)"," "," "," ","1990-01-01","1990-01-01",1,"BRGY 7, GUIUAN, EASTERN SAMAR",1,1," ",1,"",99,"ROS019","","","BRGY 7, GUIUAN, EASTERN SAMAR","","","BRGY 7, GUIUAN, EASTERN SAMAR","","","#N/A",7,"","","","","","NERISSA CERILLA",1,1,"0",0,""
2445,"ROSE PHARMACY INC. (TAC-MARASBARAS)"," "," "," ","1990-01-01","1990-01-01",1,"MARASBARAS TACLOBAN,",1,1," ",1,"",99,"ROS020","","","MARASBARAS TACLOBAN,","","","MARASBARAS TACLOBAN,","","","#N/A",7,"","","","","","NERISSA CERILLA",1,1,"0",0,""
2446,"ROSE PHARMACY INC. (TAC-ROVIC DS)"," "," "," ","1990-01-01","1990-01-01",1,"ROVIC BLDG. COR. DEL PILAR ZAMORA & ZAMOR ST., TAC",1,1," ",1,"",99,"ROS021","","","ROVIC BLDG. COR. DEL PILAR ZAMORA & ZAMOR ST., TAC","","","ROVIC BLDG. COR. DEL PILAR ZAMORA & ZAMOR ST., TAC","","","#N/A",7,"","","","","","NERISSA CERILLA",1,1,"0",0,""
2447,"ROSE PHARMACY INC. (TAC-VETERANOS)"," "," "," ","1990-01-01","1990-01-01",1,"G/F CYC BLDG, #166 AVENIDA VETERANOS, TACLOBAN CIT",1,1," ",1,"",99,"ROS022","","","G/F CYC BLDG, #166 AVENIDA VETERANOS, TACLOBAN CIT","","","G/F CYC BLDG, #166 AVENIDA VETERANOS, TACLOBAN CIT","","","#N/A",7,"","","","","","NERISSA CERILLA",1,1,"0",0,""
2448,"ROSE PHARMACY INC. (TAC-VM PEREZ)"," "," "," ","1990-01-01","1990-01-01",1,"VM PEREZ BLDG., SALAZAR ST. BGRY 20 TACLOBAN CITY",1,1," ",1,"",99,"ROS023","","","VM PEREZ BLDG., SALAZAR ST. BGRY 20 TACLOBAN CITY","","","VM PEREZ BLDG., SALAZAR ST. BGRY 20 TACLOBAN CITY","","","#N/A",7,"","","","","","NERISSA CERILLA",1,1,"0",0,""
2449,"ROSE PHARMACY INC.,"," "," "," ","1990-01-01","1990-01-01",1,"DON GERARDO OUANO EXT, OPAO, MANDAUEMANDAUE",1,1," ",1,"",99,"ROS024","","","DON GERARDO OUANO EXT, OPAO, MANDAUE","","MANDAUE","DON GERARDO OUANO EXT, OPAO, MANDAUE","","MANDAUE","Cebu",7,"","","","","","Japet Candol",1,1,"0",0,""
2450,"ROSEKIE PHARMACY - CORDOVA"," "," "," ","1990-01-01","1990-01-01",1,"CORDOVA CEBU",1,1," ",1,"",99,"ROS070","","","","","CORDOVA CEBU","","","CORDOVA CEBU","Cebu",8,"","","","","","Romnick Remolado",1,1,"0",0,""
2451,"ROSE PHARMACY INC. (ORMOC AVILES)"," "," "," ","1990-01-01","1990-01-01",1,"ROSALIA BLDG.,COR REAL & AVILE BRGY 6",1,1," ",1,"",99,"ROS074","","","ROSALIA BLDG.,COR REAL & AVILE BRGY 6","","","ROSALIA BLDG.,COR REAL & AVILE BRGY 6","","","#N/A",7,"","","","","","Evita Galarido",1,1,"0",0,""
2452,"ROSABELLA STORE - ALBUERA"," "," "," ","1990-01-01","1990-01-01",1,"ALBUERA LEYTE",1,1," ",1,"",99,"ROS076","","","","","ALBUERA LEYTE","","","ALBUERA LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
2453,"ROSSVILLE DRUGSTORE - BATO LEYTE"," "," "," ","1990-01-01","1990-01-01",1,"BATO LEYTE",1,1," ",1,"",99,"ROS078","","","","","BATO LEYTE","","","BATO LEYTE","Leyte",8,"","","","","","PHILIP ESCOL",1,1,"0",0,""
2454,"ROSE PHARMACY INC. - (LEYTE- MAASIN III COR. T.OPPUS)"," "," "," ","1990-01-01","1990-01-01",1,"CORNER TOMAS OPPUS AND CABRERA BRGY. TAGNIPA",1,1," ",1,"",99,"ROS087","","","CORNER TOMAS OPPUS AND CABRERA BRGY. TAGNIPA","","","CORNER TOMAS OPPUS AND CABRERA BRGY. TAGNIPA","","","#N/A",7,"","","","","","NERISSA CERILLA",1,1,"0",0,""
2455,"ROSELYN STORE - DUMANJUG"," "," "," ","1990-01-01","1990-01-01",1,"ILAYA DUMANJUG CEBU",1,1," ",1,"",99,"ROS088","","","","","ILAYA DUMANJUG CEBU","","","ILAYA DUMANJUG CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
2456,"ROSE ANN LIZA PHARMACY - SILAGO"," "," "," ","1990-01-01","1990-01-01",1,"SILAGO SOUTHERN LEYTE",1,1," ",1,"",99,"ROS091","","","","","SILAGO SOUTHERN LEYTE","","","SILAGO SOUTHERN LEYTE","Leyte",8,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
2457,"ROSE PHARMACY INC.  - ROSALIA BLDG."," "," "," ","1990-01-01","1990-01-01",1,"ROSALIA BLDG. COR. REAL & AVILE",1,1," ",1,"",99,"ROS097","","","ROSALIA BLDG. COR. REAL & AVILE","","","ROSALIA BLDG. COR. REAL & AVILE","","","#N/A",7,"","","","","","NERISSA CERILLA",1,1,"0",0,""
2458,"ROSITA STORE - GUIUAN"," "," "," ","1990-01-01","1990-01-01",1,"GUIUAN EASTERN SAMAR",1,1," ",1,"",99,"ROS098","","","","","GUIUAN EASTERN SAMAR","","","GUIUAN EASTERN SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
2459,"ROSE STORE - CULABA"," "," "," ","1990-01-01","1990-01-01",1,"CULABA LEYTE",1,1," ",1,"",99,"ROS100","","","","","CULABA LEYTE","","","CULABA LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
2460,"ROSALEA STORE - GUIUAN"," "," "," ","1990-01-01","1990-01-01",1,"QUIOT, PARDO, CC",1,1," ",1,"",99,"ROS101","","","","","QUIOT, PARDO, CC","","","GUIUAN, E. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
2461,"ROSELYN STORE - BANTAYAN"," "," "," ","1990-01-01","1990-01-01",1,"BABAG, CC",1,1," ",1,"",99,"ROS103","","","","","BABAG, CC","","","GUIWANAON, BANTAYAN, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2462,"ROSE PHARMACY INC.,"," "," "," ","1990-01-01","1990-01-01",1,"BRGY. SAN ROQUE ALANG-ALANG LEYTE",1,1," ",1,"",99,"ROS111","","","BRGY. SAN ROQUE ALANG-ALANG LEYTE","","","BRGY. SAN ROQUE ALANG-ALANG LEYTE","","","#N/A",7,"","","","","","1",1,1,"0",0,""
2463,"ROSE PHARMACY INC. (LEYTE-REAL ST.,)"," "," "," ","1990-01-01","1990-01-01",1,"REAL ST., COR. BONIFACIO ST. BRGY STO. NINO ALANG2XLEYTE",1,1," ",1,"",99,"ROS112","","","REAL ST., COR. BONIFACIO ST. BRGY STO. NINO ALANG2X","","LEYTE","REAL ST., COR. BONIFACIO ST. BRGY STO. NINO ALANG2X","","LEYTE","#N/A",7,"","","","","","NERISSA CERILLA",1,1,"0",0,""
2464,"ROSE PHARMACY INC., (PALOMPON LEYTE)"," "," "," ","1990-01-01","1990-01-01",1,"AUNZO BLDG., RIZAL ST.,PALOMPON LEYTE",1,1," ",1,"",99,"ROS113","","","AUNZO BLDG., RIZAL ST.,","","PALOMPON LEYTE","AUNZO BLDG., RIZAL ST.,","","PALOMPON LEYTE","#N/A",2,"","","","","","NERISSA CERILLA",1,1,"0",0,""
2465,"ROSE PHARMACY INC., -WAD MALL NAVAL"," "," "," ","1990-01-01","1990-01-01",1,"WAD MALL NAVAL BLIRAN",1,1," ",1,"",99,"ROS114","","","WAD MALL NAVAL BLIRAN","","","WAD MALL NAVAL BLIRAN","","","#N/A",7,"","","","","","NERISSA CERILLA",1,1,"0",0,""
2466,"ROSE PHARMACY INC.,"," "," "," ","1990-01-01","1990-01-01",1,"SUBANGDAKU MANDAUE",1,1," ",1,"",99,"ROS115","","","SUBANGDAKU MANDAUE","","","SUBANGDAKU MANDAUE","","","Cebu",2,"","","","","","1",1,1,"0",0,""
2467,"ROSE STORE - TABANGO"," "," "," ","1990-01-01","1990-01-01",1,"TABANGO, LEYTE",1,1," ",1,"",99,"ROS116","","","","","TABANGO, LEYTE","","","TABANGO, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
2468,"ROSE STORE - ISABEL"," "," "," ","1990-01-01","1990-01-01",1,"ISABEL, LEYTE",1,1," ",1,"",99,"ROS117","","","","","ISABEL, LEYTE","","","ISABEL, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
2469,"ROSALIA STORE -  GUIUAN"," "," "," ","1990-01-01","1990-01-01",1,"GUIUAN, SAMAR",1,1," ",1,"",99,"ROS118","","","","","GUIUAN, SAMAR","","","GUIUAN, SAMAR","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
2470,"ROSEL STORE -  BANTAYAN"," "," "," ","1990-01-01","1990-01-01",1,"BANTAYAN ISLAND",1,1," ",1,"",99,"ROS119","","","","","BANTAYAN ISLAND","","","BANTAYAN ISLAND","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2471,"ROSE STORE - PALAMAS"," "," "," ","1990-01-01","1990-01-01",1,"PALAMAS",1,1," ",1,"",99,"ROS120","","","","","PALAMAS","","","PALAMAS","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
2472,"ROVEL'S MINI MART - CARCAR"," "," "," ","1990-01-01","1990-01-01",1,"CARCAR, CEBU",1,1," ",1,"",99,"ROV001","","","","","CARCAR, CEBU","","","CARCAR, CEBU","Cebu",14,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
2473,"ROVEL STORE - MANTALONGON"," "," "," ","1990-01-01","1990-01-01",1,"MANTALONGON",1,1," ",1,"",99,"ROV003","","","","","MANTALONGON","","","MANTALONGON","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
2474,"ROWENA PHARMACY - LLORENTE"," "," "," ","1990-01-01","1990-01-01",1,"LLORENTE E., SAMAR",1,1," ",1,"",99,"ROW004","","","","","LLORENTE E., SAMAR","","","LLORENTE E., SAMAR","Leyte",8,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
2475,"ROWINA STORE - HERNANI"," "," "," ","1990-01-01","1990-01-01",1,"HERNANI, E. SAMAR",1,1," ",1,"",99,"ROW005","","","","","HERNANI, E. SAMAR","","","HERNANI, E. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
2476,"ROWENA STORE - DOLORES"," "," "," ","1990-01-01","1990-01-01",1,"DOLORES, SAMAR",1,1," ",1,"",99,"ROW008","","","","","DOLORES, SAMAR","","","DOLORES, SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
2477,"ROWENA STORE - ALCANTARA"," "," "," ","1990-01-01","1990-01-01",1,"ALCANTARA, CEBU",1,1," ",1,"",99,"ROW009","","","","","ALCANTARA, CEBU","","","ALCANTARA, CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
2478,"ROXANNE PHARMACY - SANTANDER"," "," "," ","1990-01-01","1990-01-01",1,"SANTANDER CEBU",1,1," ",1,"",99,"ROX000","","","","","SANTANDER CEBU","","","SANTANDER CEBU","Cebu",8,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
2479,"ROXANE PHARMACY"," "," "," ","1990-01-01","1990-01-01",1,"BASAK MANDAUE",1,1," ",1,"",99,"ROX001","","","BASAK MANDAUE","","","BASAK MANDAUE","","","#N/A",8,"","","","","","Romnick Remolado",1,1,"0",0,""
2480,"ROXANNE PHARMACY - MANDAUE"," "," "," ","1990-01-01","1990-01-01",1,"BASAK, MANDAUE CITY",1,1," ",1,"",99,"ROX002","","","","","BASAK, MANDAUE CITY","","","BASAK, MANDAUE CITY","Cebu",7,"","","","","","EDRYL ABALAYAN",1,1,"0",0,""
2481,"ROY STORE"," "," "," ","1990-01-01","1990-01-01",1,"PORO CAMOTES",1,1," ",1,"",99,"ROY000","","","","","PORO CAMOTES","","","PORO CAMOTES","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
2482,"ROYAL STAR PHARMACY - BALAMBAN"," "," "," ","1990-01-01","1990-01-01",1,"BALAMBAN CEBU",1,1," ",1,"",99,"ROY001","","","","","BALAMBAN CEBU","","","BALAMBAN CEBU","Cebu",8,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
2483,"ROYAL PHARMACY - MADRIDEJOS"," "," "," ","1990-01-01","1990-01-01",1,"MADRIDEJOS BANTAYAN",1,1," ",1,"",99,"ROY002","","","","","MADRIDEJOS BANTAYAN","","","MADRIDEJOS BANTAYAN","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2484,"ROYAL PHARMACY - STA. FE"," "," "," ","1990-01-01","1990-01-01",1,"STA. FE BANTAYAN ISLAND CEBU",1,1," ",1,"",99,"ROY004","","","","","STA. FE BANTAYAN ISLAND CEBU","","","STA. FE BANTAYAN ISLAND CEBU","Cebu",8,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2485,"ROY STORE - CALBIGA"," "," "," ","1990-01-01","1990-01-01",1,"CALBIGA LEYTE",1,1," ",1,"",99,"ROY005","","","","","CALBIGA LEYTE","","","CALBIGA LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
2486,"ROYAL STAR PHARMACY - CARMEN"," "," "," ","1990-01-01","1990-01-01",1,"CARMEN CEBU",1,1," ",1,"",99,"ROY009","","","","","CARMEN CEBU","","","CARMEN CEBU","Cebu",7,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2487,"ROYAL JAZZ PHARMACY - BANTAYAN"," "," "," ","1990-01-01","1990-01-01",1,"BANTAYAN, BANTAYAN ISLAND CEBU",1,1," ",1,"",99,"ROY010","","","","","BANTAYAN, BANTAYAN ISLAND CEBU","","","BANTAYAN, BANTAYAN ISLAND CEBU","Cebu",8,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2488,"ROYAL JAZZ PHARMACY - BOGO"," "," "," ","1990-01-01","1990-01-01",1,"BOGO CITY, CEBU",1,1," ",1,"",99,"ROY011","","","","","BOGO CITY, CEBU","","","BOGO CITY, CEBU","Cebu",8,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2489,"ROYAL ONE PHARMACY - TUBURAN"," "," "," ","1990-01-01","1990-01-01",1,"POBLACION TUBURAN CEBU",1,1," ",1,"",99,"ROY012","","","","","POBLACION TUBURAN CEBU","","","POBLACION TUBURAN CEBU","Cebu",8,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2490,"ROYAL STAR PHARMACY-BANTAYAN"," "," "," ","1990-01-01","1990-01-01",1,"BANTAYAN",1,1," ",1,"",99,"ROY013","","","","","BANTAYAN","","","BANTAYAN","Cebu",8,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2491,"ROYAL JAZZ PHARMACY - SN REMEGIO"," "," "," ","1990-01-01","1990-01-01",1,"SAN REMEGIO, CEBU",1,1," ",1,"",99,"ROY014","","","","","SAN REMEGIO, CEBU","","","SAN REMEGIO, CEBU","Cebu",7,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2492,"ROYAL 88"," "," "," ","1990-01-01","1990-01-01",1,"PAJACLAPU-LAPU",1,1," ",1,"",99,"ROY017","","","PAJAC","","LAPU-LAPU","PAJAC","","LAPU-LAPU","Cebu",8,"","","","","","Romnick Remolado",1,1,"0",0,""
2493,"ROYAL STAR STORE - CARMEN"," "," "," ","1990-01-01","1990-01-01",1,"CARMEN, CEBU",1,1," ",1,"",99,"ROY020","","","","","CARMEN, CEBU","","","CARMEN, CEBU","#N/A",15,"","","","","","JASON TARIAO",1,1,"0",0,""
2494,"ROY STORE- VALENCIA"," "," "," ","1990-01-01","1990-01-01",1,"VALENCIA, LEYTE",1,1," ",1,"",99,"ROY021","","","","","VALENCIA, LEYTE","","","VALENCIA, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
2495,"ROY STORE -  HINABANGAN"," "," "," ","1990-01-01","1990-01-01",1,"HINABANGAN, LEYTE",1,1," ",1,"",99,"ROY022","","","","","HINABANGAN, LEYTE","","","HINABANGAN, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
2496,"ROYAL STAR PHARMACY - SAN REMIGIO"," "," "," ","1990-01-01","1990-01-01",1,"SAN REMIGIO, CEBU",1,1," ",1,"",99,"ROY023","","","","","SAN REMIGIO, CEBU","","","SAN REMIGIO, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2497,"RPG STORE - TUDELA"," "," "," ","1990-01-01","1990-01-01",1,"TUDELA CAMOTES ISLAND CEBU",1,1," ",1,"",99,"RPG000","","","","","TUDELA CAMOTES ISLAND CEBU","","","TUDELA CAMOTES ISLAND CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2498,"RPG STORE - VILLAHERMOSA"," "," "," ","1990-01-01","1990-01-01",1,"VILLA HERMOSA, CEBU",1,1," ",1,"",99,"RPG002","","","","","VILLA HERMOSA, CEBU","","","VILLA HERMOSA, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2499,"RPJ STORE - TUDELA"," "," "," ","1990-01-01","1990-01-01",1,"TUDELA, CAMOTES, CEBU",1,1," ",1,"",99,"RPJ000","","","","","TUDELA, CAMOTES, CEBU","","","TUDELA, CAMOTES, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2500,"RPS STORE - BURAUEN"," "," "," ","1990-01-01","1990-01-01",1,"BURAUEN LEYTE",1,1," ",1,"",99,"RPS000","","","","","BURAUEN LEYTE","","","BURAUEN LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
2501,"RPS PHARMACY - BURAUEN"," "," "," ","1990-01-01","1990-01-01",1,"BURAUEN, LEYTE",1,1," ",1,"",99,"RPS001","","","","","BURAUEN, LEYTE","","","BURAUEN, LEYTE","Leyte",7,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
2502,"RPY PHARMACY"," "," "," ","1990-01-01","1990-01-01",1,"CONSOLACION PUBLIC MARKET",1,1," ",1,"",99,"RPY001","","","CONSOLACION PUBLIC MARKET","","","CONSOLACION PUBLIC MARKET","","","#N/A",7,"","","","","","EDRYL ABALAYAN",1,1,"0",0,""
2503,"RR STORE - SAN FRANS"," "," "," ","1990-01-01","1990-01-01",1,"SAN FRAN CAMOTES",1,1," ",1,"",99,"RR0000","","","","","SAN FRAN CAMOTES","","","SAN FRAN CAMOTES","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2504,"R & R STORE - QUINAPONDAN"," "," "," ","1990-01-01","1990-01-01",1,"QUINAPONDAN",1,1," ",1,"",99,"RR0003","","","","","QUINAPONDAN","","","QUINAPONDAN","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
2505,"RR CORNER STORE - BAYBAY"," "," "," ","1990-01-01","1990-01-01",1,"BAYBAY, LEYTE",1,1," ",1,"",99,"RRC000","","","","","BAYBAY, LEYTE","","","BAYBAY, LEYTE","Leyte",3,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
2506,"RRD STORE - SOGOD"," "," "," ","1990-01-01","1990-01-01",1,"TABUNOK SOGOD",1,1," ",1,"",99,"RRD000","","","","","TABUNOK SOGOD","","","TABUNOK SOGOD","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2507,"R & R HARDWARE - TABANGO"," "," "," ","1990-01-01","1990-01-01",1,"TABANGO, LEYTE",1,1," ",1,"",99,"RRH000","","","","","TABANGO, LEYTE","","","TABANGO, LEYTE","Leyte",13,"","","","","","PHILIP ESCOL",1,1,"0",0,""
2508,"RR STORE - TABOGON"," "," "," ","1990-01-01","1990-01-01",1,"TABOGON, CEBU",1,1," ",1,"",99,"RRS001","","","","","TABOGON, CEBU","","","TABOGON, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2509,"RR STORE - BANTAYAN"," "," "," ","1990-01-01","1990-01-01",1,"OKOY, BANTAYAN, CEBU",1,1," ",1,"",99,"RRS002","","","","","OKOY, BANTAYAN, CEBU","","","OKOY, BANTAYAN, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2510,"RSD STORE - DULAG"," "," "," ","1990-01-01","1990-01-01",1,"SAN JOSE, DULAG, LEYTE",1,1," ",1,"",99,"RSD000","","","","","SAN JOSE, DULAG, LEYTE","","","SAN JOSE, DULAG, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
2511,"RSP STORE - CATARMAN"," "," "," ","1990-01-01","1990-01-01",1,"CATARMAN, N. SAMAR",1,1," ",1,"",99,"RSP000","","","","","CATARMAN, N. SAMAR","","","CATARMAN, N. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
2512,"RS STORE - BANTAYAN IS"," "," "," ","1990-01-01","1990-01-01",1,"POB. BANTAYAN IS",1,1," ",1,"",99,"RTS000","","","","","POB. BANTAYAN IS","","","POB. BANTAYAN IS","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
2513,"RUBEDITH STORE - JABONG"," "," "," ","1990-01-01","1990-01-01",1,"JABONG LEYTE",1,1," ",1,"",99,"RUB001","","","","","JABONG LEYTE","","","JABONG LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
2514,"RUBEN TRADING - MC ARTHUR"," "," "," ","1990-01-01","1990-01-01",1,"MC. ARTHUR LEYTE",1,1," ",1,"",99,"RUB002","","","","","MC. ARTHUR LEYTE","","","MC. ARTHUR LEYTE","Leyte",20,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
2515,"RUBY STORE - NAGA"," "," "," ","1990-01-01","1990-01-01",1,"NAGA CITY, CEBU",1,1," ",1,"",99,"RUB003","","","","","NAGA CITY, CEBU","","","NAGA CITY, CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
2516,"RUBEN STORE - LLORENTE"," "," "," ","1990-01-01","1990-01-01",1,"LLORENTE, E. SAMAR",1,1," ",1,"",99,"RUB006","","","","","LLORENTE, E. SAMAR","","","LLORENTE, E. SAMAR","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
2517,"RUBEN STORE - MAYDULONG"," "," "," ","1990-01-01","1990-01-01",1,"MAYDULONG, E. SAMAR",1,1," ",1,"",99,"RUB007","","","","","MAYDULONG, E. SAMAR","","","MAYDULONG, E. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
2518,"RUBY STORE  - NAVAL"," "," "," ","1990-01-01","1990-01-01",1,"NAVAL, LEYTE",1,1," ",1,"",99,"RUB008","","","","","NAVAL, LEYTE","","","NAVAL, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
2519,"RUDIN STORE - MC ARTHUR"," "," "," ","1990-01-01","1990-01-01",1,"MC ARTHUR LEYTE",1,1," ",1,"",99,"RUD002","","","","","MC ARTHUR LEYTE","","","MC ARTHUR LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
2520,"RUDY STORE - CALBAYOG"," "," "," ","1990-01-01","1990-01-01",1,"CALBAYOG, SAMAR",1,1," ",1,"",99,"RUD005","","","","","CALBAYOG, SAMAR","","","CALBAYOG, SAMAR","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
2521,"RUEL STORE - BILIRAN"," "," "," ","1990-01-01","1990-01-01",1,"BILIRAN, LEYTE",1,1," ",1,"",99,"RUE003","","","","","BILIRAN, LEYTE","","","BILIRAN, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
2522,"RUFRANCE HARDWARE - QUINAPONDAN"," "," "," ","1990-01-01","1990-01-01",1,"QUINAPONDAN, LEYTE",1,1," ",1,"",99,"RUF000","","","","","QUINAPONDAN, LEYTE","","","QUINAPONDAN, LEYTE","Leyte",13,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
2523,"RUFRANCE STORE - BALANGIGA"," "," "," ","1990-01-01","1990-01-01",1,"BALANGIGA SAMAR",1,1," ",1,"",99,"RUF001","","","","","BALANGIGA SAMAR","","","BALANGIGA SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
2524,"RUFE STORE - ICHON"," "," "," ","1990-01-01","1990-01-01",1,"ICHON, SO. LEYTE",1,1," ",1,"",99,"RUF003","","","","","ICHON, SO. LEYTE","","","ICHON, SO. LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
2525,"RUMAS STORE - SALCEDO"," "," "," ","1990-01-01","1990-01-01",1,"SALCEDO, SAMAR LEYTE",1,1," ",1,"",99,"RUM002","","","","","SALCEDO, SAMAR LEYTE","","","SALCEDO, SAMAR LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
2526,"RUTH STORE - ISABEL"," "," "," ","1990-01-01","1990-01-01",1,"ISABEL LEYTE",1,1," ",1,"",99,"RUT003","","","","","ISABEL LEYTE","","","ISABEL LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
2527,"RVF STORE - CALBAYOG"," "," "," ","1990-01-01","1990-01-01",1,"CALBAYOG, SAMAR",1,1," ",1,"",99,"RVF000","","","","","CALBAYOG, SAMAR","","","CALBAYOG, SAMAR","Leyte",7,"","","","","","1",1,1,"0",0,""
2528,"RYEONETH"," "," "," ","1990-01-01","1990-01-01",1,"PALO LEYTE",1,1," ",1,"",99,"RYE000","","","PALO LEYTE","","","PALO LEYTE","","","#N/A",15,"","","","","","NERISSA CERILLA",1,1,"0",0,""
2529,"RYGIE STORE - ASTURIAS"," "," "," ","1990-01-01","1990-01-01",1,"ASTURIAS, CEBU",1,1," ",1,"",99,"RYG001","","","","","ASTURIAS, CEBU","","","ASTURIAS, CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
2530,"RYLHEN STORE - ALLEN"," "," "," ","1990-01-01","1990-01-01",1,"ALLEN, N. SAMAR",1,1," ",1,"",99,"RYL000","","","","","ALLEN, N. SAMAR","","","ALLEN, N. SAMAR","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
2531,"SABETH STORE - ST. BERNARD"," "," "," ","1990-01-01","1990-01-01",1,"ST. BERNARD, SO. LEYTE",1,1," ",1,"",99,"SAB008","","","","","ST. BERNARD, SO. LEYTE","","","ST. BERNARD, SO. LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
